n_T,dT,N_obs,Ea_true,Psi,cond,D,coverage,cov_t,cov_z,cov_znodf,rmse_Ea,bias_Ea,reported_halfwidth,true_sd,R2,n_ok,relerr_Ea,SE_ratio
6,14.318575217819497,380.0,66.9250422091455,3.818336469070082,14112.413935541783,453.6018829188047,0.985,0.985,0.93,0.8925,1.5634518816063478,0.009583525173831368,5.017447181761282,1.5634225091585678,0.9970008691552606,400,0.023361238633521512,1.6373833794222428
6,13.641314563037906,380.0,59.15201471920428,16.918899512852995,44327.9515844615,3562.1396572508893,0.9175,0.9175,0.7525,0.645,0.8912342203387265,0.0527836700945015,1.3650834133946734,0.8896697812526468,0.999718989657792,400,0.01506684471474779,0.782842290430919
4,4.016917652875456,100.0,38.36261041138037,0.26343075006075733,204320.61296247094,119.07554004113234,0.94,0.94,0.7925,0.6675,4.275641345721617,0.15303428477099457,14.49247080412971,4.272901756994746,0.9849711865591636,400,0.11145334740967565,1.7304675318370835
6,10.43468799263626,480.0,27.205272588887215,3.387090898445096,46260.661417367905,728.5053924089575,0.945,0.945,0.8825,0.82,1.7741545937719436,-0.12045221709521638,4.482057373159622,1.7700609554472797,0.9861426121890406,400,0.06521363048193271,1.2919125518589387
6,4.267561908096642,370.0,61.52842836687554,0.3173408899003689,352758.5723969461,188.47980485277918,0.96,0.96,0.8775,0.825,5.9249570561848754,-0.16736291106004203,15.105392308597327,5.922592825244401,0.970041629904167,400,0.09629625221135402,1.3012599444046387
6,4.712135591459081,276.0,55.47486026775222,11.261071880677088,242444.9921526732,5544.8057932938045,0.9525,0.9525,0.8625,0.785,0.920686141610354,-0.07718702325945774,2.1790578891324572,0.9174448946905229,0.9991899451862098,400,0.016596457154945784,1.2118049112085787
6,2.6222444089959254,438.0,22.38962933583588,0.3330909311162749,1174490.8984901118,360.98373684978395,0.9325,0.9325,0.8375,0.755,6.278715007806242,-0.21402321002738822,13.97965363356558,6.275066231907111,0.8317836998847824,400,0.2804296093351041,1.1366376194388332
3,5.877888389053515,216.0,66.50342754953182,45.923881245850694,77361.6807115513,12773.253561498019,0.945,0.945,0.6675,0.5175,0.4753374806623148,-0.013388114506482439,3.9067808134497675,0.4751489018322128,0.9999786414964107,400,0.007147563639607642,4.195012362188048
6,20.987826150746105,360.0,55.15946690975736,6.241957410725436,8716.790364486105,582.7725696052431,0.97,0.97,0.9,0.84,1.2400513651347231,-0.002161707296426041,3.4389103802907623,1.240049480945843,0.9979936510618628,400,0.022481206483802436,1.4149000820958957
4,5.1106722195408905,160.0,22.407708437813753,4.3593355019138516,127094.77872291731,1554.1185671569424,0.97,0.97,0.825,0.7275,1.2286017801639826,-0.03436489004908187,4.812861046383209,1.2281210805755358,0.9950666976849909,400,0.05482942548871603,1.999429363304123
6,5.071812016660382,385.0,43.61672652788252,0.548522163064507,187581.951285727,237.56896441642286,0.96,0.96,0.8775,0.7925,4.453182050383624,0.5294971483518983,11.263573052766278,4.4215905671767155,0.9670973741510771,400,0.10209803451290353,1.2996954055287682
4,7.661257706725483,116.0,52.35416491401751,8.604308270676487,74972.55633919558,2355.9557071321296,0.9725,0.9725,0.8925,0.8125,0.7343222013560855,0.06369134443306747,3.675220131796671,0.7315548564863442,0.9994705714332432,400,0.014026051271414229,2.5631875662029193
6,8.83464188968945,285.0,31.50783325519196,11.959471610475337,54826.87122537705,2800.3268447272417,0.9625,0.9625,0.895,0.8375,0.8007567404648195,-0.0068039986861795935,2.155564270534279,0.8007278332877661,0.9975618528004102,400,0.025414528951554237,1.373472537519328
4,2.803127156599629,260.0,32.42050293715691,4.282731097992241,803163.8610489446,3838.1583327304984,0.935,0.935,0.7575,0.595,1.634467458842498,-0.10703510214077898,4.824326086936729,1.6309590310381088,0.9975454669620316,400,0.05041462379564897,1.509167804856094
4,17.22698494410843,156.0,37.26575505326779,5.38007253073199,12329.363748856633,597.3907083065027,0.9525,0.9525,0.7575,0.6225,1.2136840420503316,0.05887921771623581,3.5728542671989167,1.2122550027319974,0.9990185765140083,400,0.03256834700693674,1.50371400909494
6,9.036159875837388,444.0,23.11448325562634,2.3275558488387924,78756.96367813507,653.1976185729499,0.92,0.92,0.835,0.775,1.9866118633032455,-0.0014752169765233792,4.576008032696033,1.9866113155703269,0.9797275609561849,400,0.08594662668133325,1.1752162879405856
4,7.979386704524265,330.0,61.991143800060485,1.8476240989490653,51847.61971420427,420.7053450270938,0.965,0.965,0.8525,0.76,2.4020363892533214,0.0483375068935222,10.420879240717767,2.4015499788104457,0.9969310707889538,400,0.03874805725476835,2.2138931813731118
4,3.6878979479004457,294.0,38.65960861471809,1.4025035570807314,307789.8742191163,778.0923321093603,0.94,0.94,0.835,0.6975,2.7805413029054193,-0.019922450885997645,10.492803676300774,2.7804699302660443,0.9921058496958087,400,0.07192367958548966,1.925383621360194
4,2.832988876385098,266.0,66.20180846170858,0.37020377471529115,441677.4899866633,246.03306428410593,0.9725,0.9725,0.88,0.7675,4.243354699940905,-0.15340417117432859,17.89337847071667,4.240580888248318,0.992083439818696,400,0.06409726257546695,2.152835889832199
5,48.17487475185057,231.0,28.84253834810412,150.49618351689307,3060.1281398087776,8325.211834310392,0.9375,0.9375,0.79,0.6575,0.22163097927464243,0.016706478075198622,0.4518912585650777,0.2210004175664831,0.9999274512257241,400,0.007684170394427531,1.0432413074724682
4,3.2023807308777013,162.0,14.287959304151592,0.5856335523351872,550102.1323676747,434.35778994617306,0.9425,0.9425,0.8125,0.71,2.992901345278909,0.021775443540517758,10.136167124147335,2.9928221284651912,0.9453284909166979,400,0.20947017566107387,1.7279723340935027
